id,Publication Year,First Author,Authors,Publication Title,Summary,Database,DOI,URL,Title,Abstract,Abstract2,Exclude_JGE,Reason ID_JGE,Exclude_MS,Reason ID_MS
310,2019.0,"Zykute, D.","Zykute, D; Zykus, R",Journal Of Digestive Endoscopy,,Web of Science,10.1055/s-0040-1709311,,A Chestnut-A Difficult Challenge For An Endoscopist,"True Foreign Bodies Are A Frequent Problem In Mentally Disabled Adults And Since Ingestion Is Usually Intentional, Retrieval Can Be Difficult Due To Unusual, Previously In Practice Not Encountered Objects. This Case Illustrates The Laborious Effort Of Removing An Esophageal Foreign Body (Fb), A Chestnut, In A Mentally Disabled Adult.",,False,,False,
175,2012.0,"Lee, J.","Lee, Jun Hyung; Kim, Hyun Cheol; Yang, Dal Mo; Kim, Sang Won; Jin, Wook; Park, Seong Jin; Kim, Hyoung Jung",Clinical Imaging,,PubMed,10.1016/j.clinimag.2011.11.017,,What Is The Role Of Plain Radiography In Patients With Foreign Bodies In The Gastrointestinal Tract?,"Foreign Bodies (Fbs) In The Gastrointestinal (Gi) Tract Can Show A Wide Range Of Clinical Manifestations Ranging From Spontaneous Evacuation To Severe  Complication. Plain Radiography Is A Straightforward And Important Initial  Imaging Modality In Cases Of Fb Ingestion Or Insertion And Is Also Helpful For  Follow-Up Purposes. Careful Evaluations Of The Plain Radiographs Can Determine  The Presence And Nature Of Fbs, And Help Predict Their Precise Locations And  Facilitate Risk Assessment. In This Review, A Wide Variety Of Fbs In The Gi Tract  Are Illustrated, And The Role Of Plain Radiography In Patient Management Is  Discussed.",,False,,False,
155,2011.0,"Hsu..., M.","Md Catherine Lewis, Hk Hsu...",Journal Of The National ...,"MD Catherine Lewis, HK Hsu... - Journal of the National ..., 2011 - search.proquest.com",Google Scholar,10.1016/s0027-9684(15)30390-4 ,https://search.proquest.com/openview/815872143532a70e197510bb0f49cc93/1?pq-origsite=gscholar&cbl=36588,Aspiration Of Foreign Bodies In Adults With Personality Disorders: Impact On Diagnosis And Recurrence,"Most Cases Of Foreign-Body Aspiration Are Accidental Events In Children, Whereas The Majority Of Adults Will Have Neurological Dysfunction, Trauma, Alcohol Abuse, Or Psychological ...","Most cases of foreign-body aspiration are accidental events
in children, whereas the majority of adults will have neu-
rological dysfunction, trauma, alcohol abuse, or psycho-
logical disorders. 1 Much has been written about psychiat-
ric patients engaging in self-mutilation such as cutting and
burning, but little is recorded about deliberate aspiration of
objects in these patients, who clinically can be separated
into 4 groups: (1) malingering, (2) psychosis, (3) pica, and (4)
personality disorders. The immediate psychological gain for
these patients is unclear, as the act is insidious with no evi-
dence of intentional harm or immediate danger. Thus, they
are considered as being parasuicidal events designed to
diminish other psychological processes. 2 Aspirated objects
that are not immediately dislodged by coughing, chok-
ing, or gagging require surgical intervention. Most of these
patients usually come to the attention of a psychiatrist, but
such intervention does not prevent recurrences. We discuss
a schizophrenic patient who aspirated multiple coins while
under psychiatric treatment for prior episodes of aspiration
of coins, ingestion of objects, and insertion of others in his
urethra and rectum, while also reviewing some of the diag-
nostic and therapeutic challenges inherent in the manage-
ment of these patients.",False,,False,
9,1915.0,"Jackson, C.",C Jackson,,C Jackson - 1915 - books.google.com,Google Scholar,10.1288/00005537-191707000-00009,https://books.google.com/books?hl=en&lr=&id=eva0aqaamaaj&oi=fnd&pg=pa11&dq=++++++++++++++++++++++++(%22foreign+obj*%22+or+%22foreign+bod*%22)++++++++++++++++++++++++and++++++++++++++++++++++++(%22intent*%22+or+%22deliberate*%22+or+%22purpose*%22+or+%22self-injur*%22+or+%22selfharm*%22+or+%22self-harm*%22)++++++++++++++++++++++++and++++++++++++++++++++++++(%22ingest*%22+or+%22swallow*%22)++++++++++++++++++++++++&ots=ikdep_zegs&sig=bqezqzl_e7z3lhwvp-tf8mfxy0a,Peroral Endoscopy And Laryngeal Surgery,A Number Of Repetitions Of Fundamental Facts Have Been Necessary In Order To Facilitate Ready Reference In The Limited Time Available For The Busy Surgeon Without Perusing The Entire Book...,Abstract not available,True,2.0,True,3.0
104,2007.0,"Peek, T.","Tj Divers, Sf Peek",,"TJ Divers, SF Peek - 2007 - books.google.com",Google Scholar,,https://books.google.lk/books?hl=en&lr=&id=PbEWJrEtECIC&oi=fnd&pg=PA3&dq=Rebhun%27S+Diseases+Of+Dairy+Cattle+peek+t+2007&ots=eTlzly18AO&sig=tQYtapj1yuc5pd7TimjyHbm-pEI&redir_esc=y#v=onepage&q=Rebhun'S%20Diseases%20Of%20Dairy%20Cattle%20peek%20t%202007&f=false,Rebhun'S Diseases Of Dairy Cattle,"Rebhun'S Diseases Of Dairy Cattle, 2Nd Edition Is Your All-In-One Guide To Bovine Disease Management. With Thorough, Up-To-Date Coverage Of Differential Diagnosis Methods, ...",Abstract not available,True,4.0,True,4.0
199,2014.0,"Sahn, B.","Sahn, Benjamin; Mamula, Petar; Ford, Carol A.",Journal Of Adolescent Health : Official Publication Of The Society For Adolescent Medicine,,PubMed,10.1016/j.jadohealth.2014.01.022,,Review Of Foreign Body Ingestion And Esophageal Food Impaction Management In Adolescents,"Foreign Body Ingestion Is A Common Clinical Scenario Among Patients Of All Ages. The Immediate Risk To The Patient Ranges From Negligible To Life Threatening.  Initial And Follow-Up Management Strategies Depend On Multiple Patient And  Ingested Object-Related Factors. Available Literature On This Topic Tends To  Focus On The Small Child Or Adult, Leaving The Clinician Caring For Adolescents  To Extrapolate This Information To Guide Decision Making For Individual Patients.  This Article Reviews Foreign Body Ingestion Literature With Important  Implications To The Adolescent Patient And Raises Awareness Of Some Highly  Dangerous Objects Such As Large Button Batteries, High-Powered Magnets, Long  Sharps, Narcotic Packages, And Super Absorbent Objects. An Additional Focus  Includes The Management Of Esophageal Food Impaction. We Highlight The Unique  Aspects To The Care Of The Adolescent With Intentional Ingestion And Co-Morbid  Psychiatric Illness. The Article Concludes By Discussing The Challenges To  Prevention Of Ingestion In The At-Risk Patient.",,False,,False,
192,2013.0,"Dalal, P.","Dalal, Poorvi P.; Otey, Andrew J.; Mcgonagle, Emily A.; Whitmill, Melissa L.; Levine, Edward J.; Mckimmie, Ryan L.; Thomas, Alicia C.; Cook, Charles H.; Papadimos, Thomas J.; Reilley, Thomas E.; Bergese, Sergio D.; Steinberg, Steven M.; Stawicki, Stanislaw P. A.; Evans, David C.",Journal Of Surgical Research,,PubMed,10.1016/j.jss.2013.04.078,,Intentional Foreign Object Ingestions: Need For Endoscopy And Surgery,"Background: Intentional Ingestion Of Foreign Objects (Iifo) Is Common In The Incarcerated Population. This Study Was Undertaken In Order To Better Define  Clinical Patterns Of Iifo Among Prisoners. We Sought To Determine Factors  Associated With The Need For Endoscopic And Surgical Therapy For Iifo. Methods:  After Obtaining Permission To Conduct Iifo Research In Incarcerated Populations,  Study Patients Were Identified By Icd-9 Codes. Patient Charts Were Reviewed For  Demographics; Past Medical History; Iifo Characteristics; And Diagnostic,  Endoscopic, And Surgical Findings. Univariate And Multivariate Analyses Were  Performed Using Statistical Software. Results: Thirty Patients With 141 Episodes  Of Iifo Were Identified. The Mean Number Of Ingested Items Per Episode Was 4.60.  Endoscopy Was Performed In 97 Of 141 Iifo Instances, With Failure To Retrieve The  Ingested Object In 21 Of 97 Cases (22%). Eleven Instances (7.8%) Required  Surgical Intervention. On Multivariate Analyses, Hospital Admission Was  Associated With Elevated White Blood Cell Count (Odds Ratio [Or] 1.4, P < 0.05)  And Number Of Items Ingested (Or 1.3, P < 0.05). The Need For Endoscopy Was  Independently Associated With Ingestion Of Multiple Objects (Or 3.3, P < 0.05)  And Elevated White Blood Cell Count (Or 1.3, P < 0.05). Surgical Therapy Was  Significantly Associated With Elevated White Blood Cell Count (Or 1.6, P < 0.01)  And With Increasing Number Of Ingested Items (Or 1.07 Per Item, P < 0.05).  Endoscopy Is Associated With Significantly Lower Odds Of Surgery (Or 0.13,  P < 0.01). Conclusions: Intentional Ingestion Of Foreign Objects Continues To  Pose A Significant Human And Economic Burden. The Need For Admission Or Therapy  Is Frequently Associated With Leukocytosis. Further Investigation Is Warranted  Into Resource-Appropriate Triage Of Patients Who Present With Iifo.",,False,,False,
101,2007.0,"Gitlin, D.",Gitlin D.F.; Caplan J.P.; Rogers M.P.; Avni-Barron O.; Braun I.; Barsky A.J.,Psychosomatics,,SCOPUS,10.1176/appi.psy.48.2.162,,Foreign-Body Ingestion In Patients With Personality Disorders,[No Abstract Available],,False,,False,
289,2018.0,"Sola, R.","Sola, Richard Jr; Rosenfeld, Eric H.; Yu, Yangyang R.; St Peter, Shawn D.; Shah, Sohail R.",Journal Of Pediatric Surgery,,PubMed,10.1016/j.jpedsurg.2017.08.013,,Magnet Foreign Body Ingestion: Rare Occurrence But Big Consequences,"Purpose: To Review The Outcomes Of Magnet Ingestions From Two Children'S Hospitals And Develop A Clinical Management Pathway. Methods: Children <18Years  Old Who Ingested A Magnet Were Reviewed From 1/2011 To 6/2016 From Two Tertiary  Center Children'S Hospitals. Demographics, Symptoms, Management And Outcomes Were  Analyzed. Results: From 2011 To 2016, There Were 89 Magnet Ingestions (50 From  Hospital 1 And 39 From Hospital 2); 50 (56%) Were Males. Median Age Was 7.9  (4.0-12.0) Years; 60 (67%) Presented With Multiple Magnets Or A Magnet And A  Second Metallic Co-Ingestion. Suspected Locations Found On Imaging Were: Stomach  (53%), Small Bowel (38%), Colon (23%) And Esophagus (3%). Only 35 Patients (39%)  Presented With Symptoms And The Most Common Symptom Was Abdominal Pain (33%). 42  (47%) Patients Underwent An Intervention, In Which 20 (23%) Had An Abdominal  Operation. For Those Undergoing Abdominal Surgery, An Exact Logistic Regression  Model Identified Multiple Magnets Or A Magnet And A Second Metallic Object  Co-Ingestion (Or 12.9; 95% Ci, 2.4 - Infinity) And Abdominal Pain (Or 13.0; 95%  Ci, 3.2-67.8) As Independent Risk Factors. Conclusion: Magnets Have A High Risk  Of Requiring Surgical Intervention For Removal. Therefore, We Developed A  Management Algorithm For Magnet Ingestion. Level Of Evidence: Level Iii.",,False,,False,
30,1986.0,"Johnston, J.",Jfw Johnston,Journal Of Psychoactive Drugs,"JFW Johnston - Journal of Psychoactive Drugs, 1986 - Taylor & Francis",Google Scholar,10.1080/02791072.1986.10471393,https://www.tandfonline.com/doi/pdf/10.1080/02791072.1986.10471393,The Narcotics We Indulge In. Part Ii,"In A Previous Number We Treated Of Tobacco And The Hop, The Two Narcotics Of The Most General And Acknowledged Use Among Our British Population. But There Are Many Others In ...",Abstract not available,True,2.0,True,2.0
137,2010.0,"Pearson, E.","Pearson, Erik G.; Downey, Earl C.; Barnhart, Douglas C.; Scaife, Eric R.; Rollins, Michael D.; Black, Richard E.; Matlak, Michael E.; Johnson, Dale G.; Meyers, Rebecka L.",Journal Of Pediatric Surgery,,PubMed,10.1016/j.jpedsurg.2010.08.033,,Reflux Esophageal Stricture--A Review Of 30 Years' Experience In Children,"Purpose: Strictures Of The Esophagus In Children May Have Multiple Etiologies Including Congenital, Inflammatory, Infectious, Caustic Ingestion, And  Gastroesophageal Reflux (Peptic Stricture [Ps]). Current Literature Lacks Good  Data Documenting Long-Term Outcomes In Children. This Makes It Difficult To  Counsel Some Patients About Realistic Treatment Expectations. The Objective Of  This Study Is To Evaluate Our Institutional Experience And Define The Natural  History And Treatment Outcomes. Methods: A Retrospective Review Of Clinical Data  Obtained From Children Who Underwent Dilation For Ps Was Performed. Results: Over  The Past 30 Years, 114 Children And Adolescents Received 486 Dilations. The Most  Common Indications For Stricture Dilation Were Ps (42%) And Esophageal Atresia  (38%). Other Lesser Indications Included Congenital, Foreign Body, Corrosive,  Cancer, Radiation, Allergic, And Infectious. This Review Focuses On The 48  Children With Ps. Of The Children With Ps, A Congenital Anomaly Was Identified In  23 Children; And 12 Had Neurologic Impairment. Average Age At Presentation Was  10.2 Years (Range, 0.5-18.3 Years). Most Patients Had Had Symptoms For Many  Months Before Diagnosis. Peptic Stricture Was Most Common In The Lower Esophagus  (N = 39). However, Middle (N = 8) And Upper (N = 1) Strictures Were Occasionally  Identified. Noncompliance With Medical Therapy Was A Challenge In 12% (N = 5) Of  Children. Children With A Ps Received A Median Of 3 Dilations, But A Subset Of 5  Patients With Severe Strictures Underwent Up To 48 Dilations (Range, 1-48).  Repeated Dilations Were Required For A Median Of 20 Months (Range, 1-242 Months).  Among Patients Receiving Esophageal Dilation For Ps, 94% Required An Antireflux  Procedure (19% Required A Second Antireflux Surgery). A Subgroup Of Patients (N =  10) Was Identified Who Required Extended Dilations, Multiple Surgeries, And  Esophageal Resection. This Subgroup Had A Significantly Longer Period Of  Symptomatic Disease And Increased Risk Of Esophageal Resection Compared With  Those Patients Requiring Fewer Dilations. Surgical Resection Of The Esophageal  Stricture Was Ultimately Required In 3 Children With Ps After Failure Of More  Conservative Measures. Conclusion: Children And Adolescents Presenting With  Reflux Esophageal Stricture (Ps) Frequently Require Antireflux Surgery, Redo  Antireflux Surgery, And Multiple Dilations For Recurrent Symptoms. We Hope That  These Data Will Be Of Use To The Clinician Attempting To Counsel Patients And  Parents About Treatment Expectations In This Challenging Patient Population.",,True,2.0,True,2.0
485,2024.0,"Bhumi, S.","Bhumi, Sriya; Mago, Sheena; Mavilia-Scranton, Marianna G.; Birk, John W.; Rezaizadeh, Houman",Cureus,,PubMed,10.7759/cureus.58327,,Esophageal Button Battery Retrieval: Time-In May Not Be Everything,"The Management Of Ingested Foreign Bodies Is A Challenging Task Because Each Case Is Unique With Multiple Varying Factors Including A Patient'S Age, Anatomical  Considerations, Clinical Presentation, And The Type And Location Of The Foreign  Body Ingested. Additionally, Concern Over Complications Associated With Button  Battery Ingestion Typically Drives Management Decisions. The Common Practice Is  The Urgent Retrieval Of The Foreign Body Within Two To Six Hours Of Presentation.  An Unusual Case Is Presented Here That Demonstrated Significantly Delayed  Endoscopic Removal Of An Ingested Button Battery Without Complication, Avoiding  The Many Risks Associated With Any Emergent Endoscopic Procedure. However, This  Practice Is A Case-By-Case Decision Because There Is A Lack Of Literature To  Guide The Current Management.",,False,,False,
489,2024.0,"Wu, L.","Wu, Lei; Chen, Xiao-Yu; Ji, Dan; Zhang, Zhi-Guo; Mao, Xu-Ping",Abdominal Radiology (New York),,PubMed,10.1007/s00261-024-04404-7,,Foreign Body-Intestinal Canal Angle Guides Management Of Ingested Foreign Bodies In The Lower Gastrointestinal Tract,"Background: Determining Whether Prompt Surgery Is Required For Patient With Ingested Foreign Bodies Is Clinically Important. Purpose: To Evaluate The  Potential Value Of Computed Tomography (Ct) In Guiding The Selection Of Surgical  Treatment For Patients With Ingested Foreign Bodies In The Lower Gastrointestinal  Tract. Methods: Between January 2014 And December 2023, We Analyzed The Data Of  58 Patients (Median Age: 65.4 Years; Range, 31-96 Years) With Ingested Foreign  Bodies In The Lower Gastrointestinal Tract Who Underwent Ct Examinations.  Patients Were Treated Either Conservatively (35 Cases) Or Surgically (23 Cases).  The Angle Between The Long Axis Of The Foreign Body And The Intestinal Canal  (Fb-Ic Angle) Was Measured. Ct Findings And Clinical Variables Were Evaluated To  Identify Potential Indicators For Surgical Treatment Through Univariate And  Multivariate Logistic Regression Analyses. Results: Univariate Analysis Revealed  The Fb-Ic Angle (P = 0.002), Presence Of Free Peritoneal Gas (P = 0.002), White  Blood Cell Count (P = 0.018), And Neutrophil Count (P = 0.007) As Significant  Factors Associated With Surgical Treatment. Multivariate Analysis Demonstrated  That The Fb-Ic Angle (Odds Ratio, 1.033; P = 0.045) And The Presence Of Free  Peritoneal Gas (Odds Ratio, 41.335; P = 0.002) Are Independent Indicators For  Surgical Management. The Fb-Ic Angle Showed An Area Under The Receiver Operating  Characteristic Curve Of 0.755, With A Cutoff Value Of 51.25 Degrees. Conclusion:  The Fb-Ic Angle And Presence Of Free Peritoneal Gas Serve As Potential Predictive  Imaging Markers For Surgical Intervention.",,False,,False,
63,1999.0,"Brady, S.","Brady, S. L.; Hildner, C. D.; Hutchins, B. F.",Dysphagia,,PubMed,10.1007/pl00009596,,Simultaneous Videofluoroscopic Swallow Study And Modified Evans Blue Dye Procedure: An Evaluation Of Blue Dye Visualization In Cases Of Known Aspiration,"The Reliability Of The Modified Evans Blue Dye (Mebd) Test For The Detection Of Aspirated Materials In Patients With Tracheostomy Has Been Questioned. The  Videofluoroscopic Swallow Study (Vfss) Has Been The Standard Procedure Used To  Detect Aspiration, But There Are Known Risks And The Vfss Is Not Always An  Available Evaluation Option For Aspiration Detection. The Purpose Of The Present  Study Was To Investigate The Visualization Of Blue Tracheal Secretions In Cases  Of Known Aspiration As Documented By The Vfss. Twenty Consecutive Simultaneous  Mebd Study And Vfss Were Completed On Patients With Tracheostomies At An Acute  Rehabilitation Hospital. Overall, The Mebd Showed A 50% False-Negative Error  Rate. The Mebd Identified Aspiration In 100% Of Patients Who Aspirated More Than  Trace Amounts But Failed To Identify Aspiration Of Trace Amounts (0%).",,True,2.0,True,2.0
93,2006.0,"Ayantunde, A.","Ayantunde, A. A.; Oke, T.",International Journal Of Clinical Practice,,PubMed,10.1111/j.1368-5031.2006.00709.x,,A Review Of Gastrointestinal Foreign Bodies,"Gastrointestinal Tract (Git) Foreign Bodies Represent A Significant Clinical Problem In The Emergency Department, Causing A High Degree Of Financial Burden,  Morbidity And Mortality. A Large Variety Of Foreign Bodies Are Accidentally  Ingested Or Inserted Into The Git In Different Age Groups. This A Retrospective  Review Of 38 Patients Who Presented To The Emergency Department With Git Foreign  Bodies Between January 2001 And December 2004. Computer Database And Case Note  Search Of Patients' Personal Data, Nature Of The Foreign Objects And Mode Of  Entry To The Git Were Recorded. There Were 30 Males And Eight Females (M : F  Ratio Of 3.75:1) With An Age Range Of 10 Months To 87 Years (Median Age 25.5  Years). Foreign Body Ingestion/Insertion Was Accidental In 14 Patients,  Deliberate In 11, For Anal Erotism In 11 And As A Result Of Assault In Two Cases.  The Median Time Before Presentation Was 12 H, And The Mean Length Of Hospital  Stay Was 1.7 Days. Treatment Was Conservative In 15 Patients; Five Patients Had  Gastroscopic Retrieval; 15 Patients Underwent Examination Under Anaesthetic,  Retrieval And Proctosigmoidoscopy And Three Patients Underwent Laparotomy For  Impacted Foreign Bodies. Git Foreign Body Ingestion Or Insertion Is Common;  However, Majority Of Cases Can Be Successfully Managed Conservatively.",,False,,False,
